"Question","Options","Correct Answer","Explanation"
"Which type of wireless security makes use of dynamic encryption keys each time a client associates with an AP?","EAP","EAP (Extensible Authentication Protocol) is a wireless security method that generates dynamic encryption keys each time a client associates with an Access Point (AP)."
"What must be configured to enable Cisco Express Forwarding (CEF) on most Cisco devices that perform Layer 3 switching?","Manually map Layer 2 addresses to Layer 3 addresses to populate the forwarding information base (FIB).","D","To enable Cisco Express Forwarding (CEF), you typically need to manually map Layer 2 addresses to Layer 3 addresses to populate the forwarding information base (FIB)."
"What is the purpose of adjacency tables as used in Cisco Express Forwarding (CEF)?","to maintain Layer 2 next-hop addresses","B","Adjacency tables in Cisco Express Forwarding (CEF) are used to maintain Layer 2 next-hop addresses for efficient forwarding decisions."
"Which statement describes a characteristic of the network layer in the OSI model?","Its protocols specify the packet structure and processing used to carry the data from one host to another.","D","The network layer in the OSI model is responsible for specifying the packet structure and processing used to carry data from one host to another, including routing decisions."
"A user gets an IP address of 192.168.0.1 from the company network administrator. A friend of the user at a different company gets the same IP address on another PC. How can two PCs use the same IP address and still reach the Internet, send and receive email, and search the web?","ISPs use Network Address Translation to change a user IP address into an address that can be used on the Internet.","B","Internet Service Providers (ISPs) use Network Address Translation (NAT) to change private IP addresses into a public IP address that can be used on the Internet, allowing multiple users to share the same private IP address."
"Why does HTTP use TCP as the transport layer protocol?","because HTTP requires reliable delivery","D","HTTP uses TCP as the transport layer protocol because HTTP requires reliable delivery of web content, ensuring that data is delivered correctly and in order."
"What is the valid most compressed format possible of the IPv6 address 2001:0DB8:0000:AB00:0000:0000:0000:1234?","2001:DB8:0:AB::1234","B","The most compressed valid format of the IPv6 address 2001:0DB8:0000:AB00:0000:0000:0000:1234 is 2001:DB8:0:AB::1234."
"What field content is used by ICMPv6 to determine that a packet has expired?","Hop Limit field","C","ICMPv6 uses the Hop Limit field in the IPv6 header to determine that a packet has expired."
"Which firewall technique blocks incoming packets unless they are responses to internal requests?","stateful packet inspection","B","Stateful packet inspection is a firewall technique that allows incoming packets only if they are responses to internal requests, helping to maintain the state of connections and filter traffic based on context."
"A network technician is investigating network connectivity from a PC to a remote host with the address 10.1.1.5. Which command issued on the PC will return to the technician the complete path to the remote host?","tracert 10.1.1.5","C","The tracert command on a PC is used to trace the complete path to a remote host, displaying the intermediate routers along the way."
"Fill in the blank. To prevent faulty network devices from carrying dangerous voltage levels, equipment must be grounded correctly","Grounding","Equipment grounding is essential to prevent faulty network devices from carrying dangerous voltage levels."
"What is a possible hazard that can be caused by network cables in a fire?","The cable insulation could be flammable.","A","In a fire, network cable insulation could be flammable and contribute to the spread of flames."
"What device is commonly used to verify a UTP cable?","a cable tester","C","A cable tester is commonly used to verify the functionality of a UTP (Unshielded Twisted Pair) cable."
"What needs to be checked when testing a UTP network cable?","wire map","B","When testing a UTP network cable, checking the wire map is essential to ensure that each wire is properly connected to its corresponding pin at both ends of the cable."
"Which function is provided by TCP?","communication session control","C","TCP (Transmission Control Protocol) provides communication session control, including connection establishment, data transfer reliability, and connection termination."
"What does a router use to determine where to send data it receives from the network?","a routing table","B","Routers use routing tables to determine where to send data they receive from the network, making forwarding decisions based on destination addresses."
"Which router interface should be used for direct remote access to the router via a modem?","an AUX port","D","An AUX (Auxiliary) port on a router is commonly used for direct remote access to the router via a modem, allowing out-of-band management and troubleshooting."
"A technician is configuring a router to allow for all forms of management access. As part of each different type of access, the technician is trying to type the command login. Which configuration mode should be entered to do this task?","any line configuration mode","C","To configure login settings for different types of management access on a router, you should enter the appropriate line configuration mode for each access method."
"Which three statements characterize the transport layer protocols? (Choose three.)","TCP and UDP port numbers are used by application layer protocols. TCP uses port numbers to provide reliable transportation of IP packets. TCP is a connection-oriented protocol. UDP is a connectionless protocol.","A, B, E","The correct statements about transport layer protocols are: A) TCP and UDP port numbers are used by application layer protocols. B) TCP uses port numbers to provide reliable transportation of IP packets. E) TCP is a connection-oriented protocol. UDP is a connectionless protocol."
"Which statement is true about an interface that is configured with the IPv6 address command?","IPv6 traffic-forwarding is enabled on the interface.","A","When an interface is configured with the IPv6 address command, IPv6 traffic-forwarding is enabled on that interface."
"A network administrator is variably subnetting a given block of IPv4 addresses. Which combination of network addresses and prefix lengths will make the most efficient use of addresses when the need is for 2 subnets capable of supporting 10 hosts and 1 subnet that can support 6 hosts?","10.1.1.128/28, 10.1.1.160/28, 10.1.1.128/26","A, C","The combination of network addresses and prefix lengths that will make the most efficient use of addresses for the given requirements is: A) 10.1.1.128/28 and C) 10.1.1.128/26."
"How many additional bits should be borrowed from a /26 subnet mask in order to create subnets for WAN links that need only 2 useable addresses?","2","A","To create subnets for WAN links that need only 2 usable addresses, you should borrow 2 additional bits from a /26 subnet mask."
"An administrator issued the service password-encryption command to apply encryption to the passwords configured for enable password, vty, and console lines. What will be the consequences if the administrator later issues the no service password-encryption command?","It will remove encryption from all passwords.","A","If the administrator later issues the no service password-encryption command, it will remove encryption from all passwords."
"After making configuration changes, a network administrator issues a copy running-config startup-config command in a Cisco switch. What is the result of issuing this command?","The new configuration will be stored in flash memory.","A","Issuing the copy running-config startup-config command in a Cisco switch results in the new configuration being stored in flash memory."
"What are two features of ARP? (Choose two.)","If a host is ready to send a packet to a local destination device and it has the IP address but not the MAC address of the destination, it generates an ARP broadcast. If a device receiving an ARP request has the destination IPv4 address, it responds with an ARP reply.","A, E","The two features of ARP (Address Resolution Protocol) are: A) If a host is ready to send a packet to a local destination device and it has the IP address but not the MAC address of the destination, it generates an ARP broadcast. E) If a device receiving an ARP request has the destination IPv4 address, it responds with an ARP reply."
"A network administrator is enabling services on a newly installed server. Which two statements describe how services are used on a server? (Choose two.)","A port is considered to be open when it has an active server application that is assigned to it. Server security can be improved by closing ports that are associated with unused services.","B, E","The two statements describing how services are used on a server are: B) A port is considered to be open when it has an active server application that is assigned to it. E) Server security can be improved by closing ports that are associated with unused services."
"Given the binary address of 11101100 00010001 00001100 00001010, which address does this represent in dotted decimal format?","236.17.12.10","D","The binary address 11101100 00010001 00001100 00001010 represents the dotted decimal address 236.17.12.10."
"A particular telnet site does not appear to be responding on a Windows 7 computer. What command could the technician use to show any cached DNS entries for this web page?","ipconfig /displaydns","C","The command that the technician can use to show any cached DNS entries for a web page is ipconfig /displaydns."
"Fill in the blank. Network devices come in two physical configurations. Devices that have expansion slots that provide the flexibility to add new modules have a Modular configuration.","Modular","Network devices come in two physical configurations. Devices that have expansion slots that provide the flexibility to add new modules have a Modular configuration."
"Which statement is true about DHCP operation?","When a device that is configured to use DHCP boots, the client broadcasts a DHCPDISCOVER message to identify any available DHCP servers on the network.","A","The statement that is true about DHCP operation is that when a device configured to use DHCP boots, the client broadcasts a DHCPDISCOVER message to identify any available DHCP servers on the network."
"Which type of wireless security is easily compromised?","WEP","C","WEP (Wired Equivalent Privacy) is a type of wireless security that is easily compromised."
"A network administrator notices that the throughput on the network appears lower than expected when compared to the end-to-end network bandwidth. Which three factors can explain this difference? (Choose three.)","the amount of traffic, the type of data encapsulation in use, the number and type of network devices that the data is crossing","A, B, D","The three factors that can explain the lower throughput on the network compared to the end-to-end network bandwidth are: A) the amount of traffic, B) the type of data encapsulation in use, and D) the number and type of network devices that the data is crossing."
"A host PC is attempting to lease an address through DHCP. What message is sent by the server to the client know it is able to use the provided IP information?","DHCPACK","D","The message sent by the server to the client to let it know that it is able to use the provided IP information is DHCPACK."
"A network administrator is configuring access control to switch SW1. If the administrator uses console line to connect to the switch, which password is needed to access user EXEC mode?","letmein, secretin, lineconin, linevtyin","C","When using the console line to connect to a switch, the password needed to access user EXEC mode is the one configured under the 'lineconin' (line console) command."
"How many bits would need to be borrowed if a network admin were given the IP addressing scheme of 172.16.0.0/16 and needed no more than 16 subnets with an equal number of hosts?","2","C","To create 16 subnets with an equal number of hosts, you would need to borrow 2 bits from the original /16 subnet, resulting in a subnet mask of /18."
"What is the primary reason to subnet IPv6 prefixes?","to create a hierarchical Layer 3 network design","D","The primary reason to subnet IPv6 prefixes is to create a hierarchical Layer 3 network design, which allows for efficient routing and network management."
"Which statement best describes the operation of the File Transfer Protocol?","An FTP client uses a source port number of 21 and a randomly generated destination port number during the establishment of control traffic with an FTP Server.","A","The described statement best describes the operation of FTP. FTP clients use port 21 for control traffic, and a random port for data traffic."
"A client is establishing a TCP session with a server. How is the acknowledgment number in the response segment to the client determined?","The acknowledgment number field is modified by adding 1 to the randomly chosen initial sequence number in response to the client.","A","The acknowledgment number in the response segment to the client is determined by adding 1 to the randomly chosen initial sequence number."
"Why does layer 3 device perform the ANDing process on a destination IP and subnet Mask?","to identify network address of the destination host","B","Layer 3 devices perform the ANDing process on a destination IP and subnet mask to identify the network address of the destination host."
"There was also a question about if you activated service password encryption in the past and you prompt “no service password encryption” what password are modified ?","no password at all","A","If you activate service password encryption in the past and then prompt 'no service password encryption,' no password modifications are made."
"What type of communication rule would best describe CSMA/CD?","access method","D","CSMA/CD (Carrier Sense Multiple Access with Collision Detection) is an access method for managing how devices on a shared network medium access the medium and detect collisions."
"What is the metric value that is used to reach the 10.1.1.0 network in the following routing table entry? D 10.1.1.0/24 [90/2170112] via 209.165.200.226, 00:00:05, Serial0/0/0","2170112","D","The metric value used to reach the 10.1.1.0 network is 2170112 in the given routing table entry."
"Which two services or protocols use the preferred UDP protocol for fast transmission and low overhead? (Choose two)","DNS, DHCP","B, D","DNS (Domain Name System) and DHCP (Dynamic Host Configuration Protocol) both use the preferred UDP protocol for fast transmission and low overhead."
"What information is maintained in the CEF adjacency table?","Layer 2 next hops, MAC address to IPv4 address mappings","A, B","The CEF (Cisco Express Forwarding) adjacency table maintains information about Layer 2 next hops and MAC address to IPv4 address mappings."
"Which command can an administrator issue on a Cisco router to send debug messages to the vty lines?","terminal monitor, logging console, logging buffered, logging synchronous","A","To send debug messages to the vty lines, the 'terminal monitor' command can be used."
"What is an example of a top-level domain?","root.cisco.com, http://www.cisco.com, .com, cisco.com","C","Top-level domains (TLDs) represent a country or type of organization, such as '.com' in this example."
"Which protocol requires the establishment of a session between sender and receiver hosts prior to transmitting data?","TCP","B","TCP (Transmission Control Protocol) requires the establishment of a session between sender and receiver hosts before transmitting data."
"Which two protocols operate at the top layer of the TCP/IP protocol suite? (Choose two.)","TCP, UDP","A, C","TCP and UDP operate at the top layer of the TCP/IP protocol suite."
"What does a client do when it has UDP datagrams to send?","It just sends the datagrams.","B","A client with UDP datagrams to send simply sends the datagrams without any handshaking or session establishment."
"What is a characteristic of multicast messages?","They are sent to a select group of hosts.","C","Multicast messages are sent to a select group of hosts, not all hosts on a network."
"Which protocol or service uses UDP for client-to-server communication and TCP for server-to-server communication?","DNS","C","DNS (Domain Name System) uses UDP for client-to-server communication and TCP for server-to-server communication."
"In what networking model would eDonkey, eMule, BitTorrent, Bitcoin, and LionShare be used?","peer-to-peer","C","eDonkey, eMule, BitTorrent, Bitcoin, and LionShare are commonly used in a peer-to-peer networking model."
"A network technician is attempting to configure an interface by entering the following command: SanJose(config)# ip address 192.168.2.1 255.255.255.0. The command is rejected by the device. What is the reason for this?","The subnet mask information is incorrect.","B","The reason for the rejection of the command is that the subnet mask information provided is incorrect."
