Question;Options;Correct Answer;Explanation;ImagePath;;
130. A router needs to be configured to route within OSPF area 0. Which two commands are required to accomplish this? (Choose two.);RouterA(config)# router ospf 0,RouterA(config)# router ospf 1,RouterA(config-router)# network 192.168.2.0 0.0.0.255 0,RouterA(config-router)# network 192.168.2.0 0.0.0.255 area 0,RouterA(config-router)# network 192.168.2.0 255.255.255.0 0;RouterA(config)# router ospf 0,RouterA(config-router)# network 192.168.2.0 0.0.0.255 area 0;To configure a router to participate in OSPF area 0, you need the following two commands: 1. RouterA(config)# router ospf 0: This command enters OSPF configuration mode. 2. RouterA(config-router)# network 192.168.2.0 0.0.0.255 area 0: This command specifies the network and assigns it to OSPF area 0.;;;
131. What are two features of a link-state routing protocol? (Choose two.);Routers send periodic updates only to neighboring routers.,Routers send triggered updates in response to a change.,Routers create a topology of the network by using information from other routers.,The database information for each router is obtained from the same source.,Paths are chosen based on the lowest number of hops to the designated router.;Routers send triggered updates in response to a change.,Routers create a topology of the network by using information from other routers.;Two features of a link-state routing protocol are: 1. Routers send triggered updates in response to a change in the network topology. 2. Routers create a topology of the network by using information from other routers, resulting in a comprehensive view of the network.;;;
132. Why would an administrator use a network security auditing tool to flood the switch MAC address table with fictitious MAC addresses?;to determine which ports are not correctly configured to prevent MAC address flooding,to determine when the CAM table size needs to be increased in order to prevent overflows,to determine if the switch is forwarding the broadcast traffic correctly,to determine which ports are functioning;to determine which ports are not correctly configured to prevent MAC address flooding;An administrator may use a network security auditing tool to flood the switch MAC address table with fictitious MAC addresses to identify ports that are not correctly configured, potentially to prevent MAC address flooding attacks.;;;
133. Which problem is evident if the show ip interface command shows that the interface is down and the line protocol is down?;An encapsulation mismatch has occurred.,A cable has not been attached to the port.,The no shutdown command has not been issued on the interface.,There is an IP address conflict with the configured address on the interface.;A cable has not been attached to the port.;When the show ip interface command displays that the interface is down and the line protocol is down, it typically indicates that no cable is physically connected to the port, resulting in a lack of connectivity.;;;
134. While analyzing log files, a network administrator notices reoccurring native VLAN mismatches. What is the effect of these reoccurring errors?;All traffic on the error-occurring trunk port is being misdirected or dropped.,The control and management traffic on the error-occurring trunk port is being misdirected or dropped.,All traffic on the error-occurring trunk port is being switched correctly regardless of the error.,Unexpected traffic on the error-occurring trunk port is being received.?;The control and management traffic on the error-occurring trunk port is being misdirected or dropped.;Reoccurring native VLAN mismatches on a trunk port can result in the control and management traffic on the trunk being misdirected or dropped, potentially causing network issues.;;;
135. Which three pairs of trunking modes will establish a functional trunk link between two Cisco switches? (Choose three.);dynamic desirable – dynamic desirable,dynamic auto – dynamic auto,dynamic desirable – dynamic auto,dynamic desirable – trunk,access – trunk,access – dynamic auto;dynamic desirable – dynamic desirable,dynamic auto – dynamic auto,dynamic desirable – trunk;To establish a functional trunk link between two Cisco switches, you can use the following trunking mode pairs: dynamic desirable – dynamic desirable, dynamic auto – dynamic auto, dynamic desirable – trunk.;;;
136. What are two ways of turning off DTP on a trunk link between switches? (Choose two.);Change the native VLAN on both ports.,Configure attached switch ports with the dynamic desirable command option.,Configure attached switch ports with the nonegotiate command option.,Configure one port with the dynamic auto command option and the opposite attached switch port with the dynamic desirable command option.,Place the two attached switch ports in access mode.;Configure attached switch ports with the nonegotiate command option.,Place the two attached switch ports in access mode.;To turn off DTP on a trunk link between switches, you can: 1. Configure attached switch ports with the nonegotiate command option. 2. Place the two attached switch ports in access mode.;;;
137. On a switch that is configured with multiple VLANs, which command will remove only VLAN 100 from the switch?;Switch# delete flash:vlan.dat,Switch(config-if)# no switchport access vlan 100,Switch(config-if)# no switchport trunk allowed vlan 100,Switch(config)# no vlan 100;Switch(config)# no vlan 100;"To remove only VLAN 100 from a switch configured with multiple VLANs, you can use the command ""Switch(config)# no vlan 100"".";;;
138. What is the purpose of setting the native VLAN separate from data VLANs?;The native VLAN is for carrying VLAN management traffic only.,The security of management frames that are carried in the native VLAN can be enhanced.,A separate VLAN should be used to carry uncommon untagged frames to avoid bandwidth contention on data VLANs.,The native VLAN is for routers and switches to exchange their management information, so it should be different from data VLANs.;A separate VLAN should be used to carry uncommon untagged frames to avoid bandwidth contention on data VLANs.;Setting the native VLAN separate from data VLANs is done to ensure that uncommon untagged frames (such as those from misconfigured devices) do not interfere with the normal operation of data VLANs, reducing the risk of bandwidth contention.;;;
139. A network contains multiple VLANs spanning multiple switches. What happens when a device in VLAN 20 sends a broadcast Ethernet frame?;All devices in all VLANs see the frame.,Devices in VLAN 20 and the management VLAN see the frame.,Only devices in VLAN 20 see the frame.,Only devices that are connected to the local switch see the frame.;Only devices in VLAN 20 see the frame.;When a device in VLAN 20 sends a broadcast Ethernet frame, only devices within VLAN 20 will see the frame. VLANs are isolated broadcast domains, and broadcasts do not traverse between VLANs unless routed.;;;
140. Refer to the exhibit. The partial configuration that is shown was used to configure router on a stick for VLANS 10, 30, and 50. However, testing shows that there are some connectivity problems between the VLANs. Which configuration error is causing this problem?;A configuration for the native VLAN is missing.,There is no IP address configured for the FastEthernet 0/0 interface.,The wrong VLAN has been configured on subinterface Fa0/0.50.?,The VLAN IP addresses should belong to the same subnet.?;The VLAN IP addresses should belong to the same subnet.?;The error causing connectivity problems is that the VLAN IP addresses on the subinterfaces Fa0/0.10, Fa0/0.30, and Fa0/0.50 should belong to the same subnet. Currently, they are configured in different subnets, preventing proper communication between the VLANs.;;;
141. What is the purpose of an access list that is created as part of configuring IP address translation?;The access list defines the valid public addresses for the NAT or PAT pool.,The access list defines the private IP addresses that are to be translated.,The access list prevents external devices from being a part of the address translation.,The access list permits or denies specific addresses from entering the device doing the translation.;The access list defines the private IP addresses that are to be translated.;An access list created as part of configuring IP address translation defines the private IP addresses that are allowed to be translated into public addresses. It controls which internal addresses are subject to NAT or PAT.;;;
143. Beginning with the Cisco IOS Software Release 15.0, which license is a prerequisite for installing additional technology pack licenses?;UC,IPBase,SEC,DATA;IPBase;Beginning with Cisco IOS Software Release 15.0, the IPBase license is a prerequisite for installing additional technology pack licenses.;;;
144. Refer to the exhibit. How many broadcast and collision domains exist in the topology?;10 broadcast domains and 5 collision domains,5 broadcast domains and 10 collision domains,5 broadcast domains and 11 collision domains,16 broadcast domains and 11 collision domains;5 broadcast domains and 11 collision domains;In the topology shown, there are 5 broadcast domains and 11 collision domains.;;;
145. What is a function of the distribution layer?;fault isolation,network access to the user,high-speed backbone connectivity,interconnection of large-scale networks in wiring closets;high-speed backbone connectivity;One of the functions of the distribution layer is to provide high-speed backbone connectivity within the network.;;;
146. Fill in the blank. In IPv6, all routes are level __1__ ultimate routes.;1;In IPv6, all routes are level 1 ultimate routes.;;;;
147. Fill in the blank. Static routes are configured by the use of the __ip route__ global configuration command.;ip route;Static routes are configured using the 'ip route' global configuration command.;;;;
148. Fill in the blank. The OSPF Type 1 packet is the __Hello__ packet.;Hello;The OSPF Type 1 packet is known as the 'Hello' packet.;;;;
149. Fill in the blank. The default administrative distance for a static route is __1__.;1;The default administrative distance for a static route is 1.;;;;
150. When a Cisco switch receives untagged frames on a 802.1Q trunk port, which VLAN ID is the traffic switched to by default?;data VLAN ID,native VLAN ID,unused VLAN ID,management VLAN ID;native VLAN ID;When a Cisco switch receives untagged frames on an 802.1Q trunk port, the traffic is switched to the native VLAN ID by default.;;;
151. Refer to the exhibit. A Layer 3 switch routes for three VLANs and connects to a router for Internet connectivity. Which two configurations would be applied to the switch? (Choose two.);(config)# interface gigabitethernet 1/1;;;;;
(config-if)# no switchport;;;;;;
(config-if)# ip address 192.168.1.2 255.255.255.252;;;;;;
(config)# interface vlan 1;;;;;;
(config-if)# ip address 192.168.1.2 255.255.255.0;;;;;;
(config-if)# no shutdown;;;;;;
(config)# interface gigabitethernet1/1;;;;;;
(config-if)# switchport mode trunk;;;;;;
(config)# interface fastethernet0/4;;;;;;
(config-if)# switchport mode trunk;;;;;;
"(config)# ip routing""";(config)# interface gigabitethernet 1/1;;;;;
(config-if)# no switchport;;;;;;
(config-if)# ip address 192.168.1.2 255.255.255.252;;;;;;
(config)# interface vlan 1;;;;;;
(config-if)# ip address 192.168.1.2 255.255.255.0;;;;;;
(config-if)# no shutdown;;;;;;
(config)# interface gigabitethernet1/1;;;;;;
(config-if)# switchport mode trunk;;;;;;
"(config)# ip routing""";The provided configurations include turning off the switchport mode on GigabitEthernet 1/1, configuring IP addresses on VLAN 1 and GigabitEthernet 1/1, enabling IP routing on the switch, and setting FastEthernet0/4 to trunk mode.;;;;;
152. How is the router ID for an OSPFv3 router determined?;the highest IPv6 address on an active interface,the highest EUI-64 ID on an active interface,the highest IPv4 address on an active interface,the lowest MAC address on an active interface;the highest IPv6 address on an active interface;In OSPFv3, the router ID is determined by the highest IPv6 address on an active interface.;;;
153. Which two statements are characteristics of routed ports on a multilayer switch? (Choose two.);In a switched network, they are mostly configured between switches at the core and distribution layers.,They support subinterfaces, like interfaces on the Cisco IOS routers.,The interface vlan command has to be entered to create a VLAN on routed ports.,They are used for point-to-multipoint links.,They are not associated with a particular VLAN.;In a switched network, they are mostly configured between switches at the core and distribution layers.,They are not associated with a particular VLAN.;Routed ports on a multilayer switch are often configured between switches at the core and distribution layers, and they are not associated with a particular VLAN.;;;
155. A small-sized company has 20 workstations and 2 servers. The company has been assigned a group of IPv4 addresses 209.165.200.224/29 from its ISP. What technology should the company implement in order to allow the workstations to access the services over the Internet?;static NAT,dynamic NAT,port address translation,DHCP;static NAT;To allow the workstations to access services over the Internet with a small number of public IPv4 addresses, the company should implement static NAT (Network Address Translation).;;;
156. What best describes the operation of distance vector routing protocols?;They use hop count as their only metric.,They send their routing tables to directly connected neighbors.,They flood the entire network with routing updates.,They only send out updates when a new network is added.;They use hop count as their only metric.;Distance vector routing protocols use hop count as their primary metric for route selection.;;;
157. Which three advantages are provided by static routing? (Choose three.);The path a static route uses to send data is known.,No intervention is required to maintain changing route information.,Static routing does not advertise over the network, thus providing better security.,Static routing typically uses less network bandwidth and fewer CPU operations than dynamic routing does.,Configuration of static routes is error-free.,Static routes scale well as the network grows.;The path a static route uses to send data is known.,No intervention is required to maintain changing route information.,Static routing does not advertise over the network, thus providing better security.;Static routing offers the advantages of knowing the route path, not requiring intervention for changing route information, and providing better security by not advertising routes. Additionally, static routing is typically more efficient in terms of network bandwidth and CPU usage than dynamic routing, and it's error-free when properly configured.;;;
158. When configuring a switch to use SSH for virtual terminal connections, what is the purpose of the crypto key generate rsa command?;show active SSH ports on the switch,disconnect SSH connected hosts,create a public and private key pair,show SSH connected hosts,access the SSH database configuration;create a public and private key pair;The 'crypto key generate rsa' command is used to generate a public and private key pair for use in SSH (Secure Shell) connections.;;;
159. Open the PT Activity. Perform the tasks in the activity instructions and then answer the question. What is the problem preventing PC0 and PC1 from communicating with PC2 and PC3?;The routers are using different OSPF process IDs.,The serial interfaces of the routers are in different subnets.,No router ID has been configured on the routers.,The gigabit interfaces are passive.;The routers are using different OSPF process IDs.;The problem preventing PC0 and PC1 from communicating with PC2 and PC3 is that the routers are using different OSPF process IDs, which means they are not forming OSPF adjacencies and exchanging routes.;;;
160. Which two commands can be used to verify the content and placement of access control lists? (Choose two.);show processes show cdp neighbor,show access-lists,show ip route,show running-config;show access-lists,show running-config;To verify the content and placement of access control lists (ACLs), you can use the 'show access-lists' command to display the configured ACLs and 'show running-config' to view the running configuration, including ACL placements.;;;
161. Refer to the exhibit. What summary static address would be configured on R1 to advertise to R3?;192.168.0.0/24,192.168.0.0/23,192.168.0.0/22,192.168.0.0/21;192.168.0.0/22;To summarize the addresses of the networks 192.168.0.0/24, 192.168.1.0/24, and 192.168.2.0/24, a summary static address of 192.168.0.0/22 should be configured on R1 to advertise to R3.;;;
162. Which value represents the “trustworthiness” of a route and is used to determine which route to install into the routing table when there are multiple routes toward the same destination?;routing protocol,outgoing interface,metric,administrative distance;administrative distance;The administrative distance represents the trustworthiness of a route and is used to determine which route to install into the routing table when there are multiple routes toward the same destination. A lower administrative distance indicates a more trusted route.;;;
163. Which type of router memory temporarily stores the running configuration file and ARP table?;flash,NVRAM,RAM,ROM;RAM;RAM (Random Access Memory) is the type of router memory that temporarily stores the running configuration file and ARP table during device operation.;;;
164. Refer to the exhibit. If the switch reboots and all routers have to re-establish OSPF adjacencies, which routers will become the new DR and BDR?;Router R3 will become the DR and router R1 will become the BDR.,Router R1 will become the DR and router R2 will become the BDR.,Router R4 will become the DR and router R3 will become the BDR.,Router R1 will become the DR and router R2 will become the BDR.;Router R1 will become the DR and router R2 will become the BDR.;When OSPF routers re-establish adjacencies, the router with the highest priority becomes the DR (Designated Router), and the router with the second-highest priority becomes the BDR (Backup Designated Router). In this case, router R1 has the highest priority, so it becomes the DR, and router R2 becomes the BDR.;;;
165. Refer to the exhibit. The Branch Router has an OSPF neighbor relationship with the HQ router over the 198.51.0.4/30 network. The 198.51.0.8/30 network link should serve as a backup when the OSPF link goes down. The floating static route command ip route 0.0.0.0 0.0.0.0 S0/1/1 100 was issued on Branch and now traffic is using the backup link even when the OSPF link is up and functioning. Which change should be made to the static route command so that traffic will only use the OSPF link when it is up?;Add the next hop neighbor address of 198.51.0.8.,Change the administrative distance to 1.,Change the destination network to 198.51.0.5.,Change the administrative distance to 120.;Change the administrative distance to 1.;To make sure traffic only uses the OSPF link when it is up, you should change the administrative distance of the static route to 1, which is lower than OSPF's administrative distance.;;;
166. Refer to the exhibit. An attacker on PC X sends a frame with two 802.1Q tags on it, one for VLAN 40 and another for VLAN 12. What will happen to this frame?;SW-A will drop the frame because it is invalid.,SW-A will leave both tags on the frame and send it to SW-B, which will forward it to hosts on VLAN 40.,SW-A will remove both tags and forward the rest of the frame across the trunk link, where SW-B will forward the frame to hosts on VLAN 40.,SW-A will remove the outer tag and send the rest of the frame across the trunk link, where SW-B will forward the frame to hosts on VLAN 12.;SW-A will remove the outer tag and send the rest of the frame across the trunk link, where SW-B will forward the frame to hosts on VLAN 12.;The outer VLAN tag (VLAN 12) will be removed by SW-A, and the frame will be forwarded across the trunk link to SW-B, where it will be treated as belonging to VLAN 12.;;;
167. A new network policy requires an ACL to deny HTTP access from all guests to a web server at the main office. All guests use addressing from the IPv6 subnet 2001:DB8:19:C::/64. The web server is configured with the address 2001:DB8:19:A::105/64. Implementing the NoWeb ACL on the interface for the guest LAN requires which three commands? (Choose three.);permit tcp any host 2001:DB8:19:A::105 eq 80,deny tcp host 2001:DB8:19:A::105 any eq 80,deny tcp any host 2001:DB8:19:A::105 eq 80,permit ipv6 any any,deny ipv6 any any,ipv6 traffic-filter NoWeb in,ip access-group NoWeb in;permit tcp any host 2001:DB8:19:A::105 eq 80,deny tcp any host 2001:DB8:19:A::105 eq 80,ipv6 traffic-filter NoWeb in;To implement the NoWeb ACL on the interface for the guest LAN, you need to permit HTTP access from any source to the web server address 2001:DB8:19:A::105, deny HTTP access from any source to the web server, and apply the IPv6 traffic filter NoWeb to the interface as an inbound ACL.;;;
"168. An OSPF router has three directly connected networks; 172.16.0.0/16, 172.16.1.0/16, and 172.16.2.0/16. Which OSPF network command would advertise only the 172.16.1.0 network to neighbors?";router(config-router)# network 172.16.1.0 0.0.255.255 area 0,router(config-router)# network 172.16.0.0 0.0.15.255 area 0,router(config-router)# network 172.16.1.0 255.255.255.0 area 0,router(config-router)# network 172.16.1.0 0.0.0.0 area 0;router(config-router)# network 172.16.1.0 0.0.255.255 area 0;To advertise only the 172.16.1.0 network to OSPF neighbors, you should use the 'router(config-router)# network 172.16.1.0 0.0.255.255 area 0' command. This command specifies a wildcard mask that matches only the 172.16.1.0 network and subnets.;;;
169. Which subnet mask would be used as the classful mask for the IP address 192.135.250.27?;255.0.0.0,255.255.0.0,255.255.255.0,255.255.255.224;255.255.255.224;The subnet mask that would be used as the classful mask for the IP address 192.135.250.27 is 255.255.255.224, which corresponds to a Class C address with a default subnet mask.;;;
170. Refer to the exhibit. A small business uses VLANs 8, 20, 25, and 30 on two switches that have a trunk link between them. What native VLAN should be used on the trunk if Cisco best practices are being implemented?;5,8,20,25,30;1;Cisco best practices recommend using VLAN 1 as the native VLAN on trunk links. In this scenario, VLAN 1 should be used as the native VLAN.;;;
171. The buffers for packet processing and the running configuration file are temporarily stored in which type of router memory?;Flash,NVRAM,RAM,ROM;RAM;The buffers for packet processing and the running configuration file are temporarily stored in RAM (Random Access Memory) on a router.;;;
172. A standard ACL has been configured on a router to allow only clients from the 10.11.110.0/24 network to telnet or to ssh to the VTY lines of the router. Which command will correctly apply this ACL?;access-group 11 in,access-class 11 in,access-list 11 in,access-list 110 in;access-class 11 in;To apply a standard ACL to control access to VTY lines, you should use the 'access-class' command followed by the ACL number. In this case, 'access-class 11 in' would correctly apply the ACL to incoming connections on the VTY lines.;;;
173. Refer to the exhibit.What address will summarize the LANs attached to routers 2-A and 3-A and can be configured in a summary static route to advertise them to an upstream neighbor?;10.0.0.0/24,10.0.0.0/23,10.0.0.0/22,10.0.0.0/21;10.0.0.0/22;To summarize the LANs attached to routers 2-A and 3-A, you can use the address 10.0.0.0/22, which covers the range of addresses from 10.0.0.0 to 10.0.3.255.;;;
174. A security specialist designs an ACL to deny access to a web server from all sales staff. The sales staff are assigned addressing from the IPv6 subnet 2001:db8:48:2c::/64. The web server is assigned the address 2001:db8:48:1c::50/64. Configuring the WebFilter ACL on the LAN interface for the sales staff will require which three commands? (Choose three.);permit tcp any host 2001:db8:48:1c::50 eq 80,deny tcp host 2001:db8:48:1c::50 any eq 80,deny tcp any host 2001:db8:48:1c::50 eq 80,permit ipv6 any any,deny ipv6 any any,ipv6 traffic-filter WebFilter in,ip access-group WebFilter in,ipv6 traffic-filter WebFilter in;permit tcp any host 2001:db8:48:1c::50 eq 80,deny tcp any host 2001:db8:48:1c::50 eq 80,ipv6 traffic-filter WebFilter in;To configure the WebFilter ACL on the LAN interface for the sales staff, you should permit TCP traffic from any source to the web server's IPv6 address on port 80, deny TCP traffic from the web server to any source on port 80, and apply the IPv6 traffic filter WebFilter to the interface as an inbound ACL.;;;
175. To enable RIP routing for a specific subnet, the configuration command network 192.168.5.64 was entered by the network administrator. What address, if any, appears in the running configuration file to identify this network?;192.168.5.64,192.168.5.0,192.168.0.0,No address is displayed.;192.168.5.64;The address 192.168.5.64 appears in the running configuration file to identify the specific subnet for RIP routing. The 'network' command specifies the network or subnet for which RIP routing should be enabled.;;;
176. Refer to the exhibit. An ACL preventing FTP and HTTP access to the interval web server from all teaching assistants has been implemented in the Board Office. The address of the web server is 172.20.1.100 and all teaching assistants are assigned addresses in the 172.21.1.0/24 network. After implementing the ACL, access to all servers is denied. What is the problem?;inbound ACLs must be routed before they are processed,the ACL is implicitly denying access to all the servers,named ACLs require the use of port numbers,the ACL is applied to the interface using the wrong direction;the ACL is implicitly denying access to all the servers;The ACL implemented is denying access to all servers, including the web server, because there is an implicit deny statement at the end of an ACL. To allow specific traffic, you must include permit statements for that traffic in the ACL.;;;
177. A router learns of multiple routes toward the same destination. Which value in a routing table represents the trustworthiness of learned routes and is used by the router to determine which route to install into the routing table for a specific situation?;Metric,Colour,Meter,Bread;Metric;The value in a routing table that represents the trustworthiness of learned routes is the Metric. The router uses the metric to determine which route to install into the routing table for a specific situation.;;;
178. What is the minimum configuration for a router interface that is participating in IPv6 routing?;Ipv6,OSPF,Link-access,To have only a link-local IPv6 address,Protocol;To have only a link-local IPv6 address;The minimum configuration for a router interface that is participating in IPv6 routing is to have a link-local IPv6 address configured on the interface. This allows the router to participate in local link communications.;;;
179. Which two statements are true about half-duplex and full-duplex communications? (Choose two.);Full duplex offers 100 percent potential use of the bandwidth,Half duplex has only one channel,All modern NICs support both half-duplex and full-duplex communication,Full duplex allows both ends to transmit and receive simultaneously,Full duplex increases the effective bandwidth.;Full duplex offers 100 percent potential use of the bandwidth,Full duplex allows both ends to transmit and receive simultaneously;Full duplex offers 100 percent potential use of the bandwidth because it allows both ends to transmit and receive simultaneously, effectively utilizing the entire bandwidth. Half duplex has only one channel and is unidirectional, allowing communication in one direction at a time. All modern NICs support both half-duplex and full-duplex communication, but full duplex is preferred for increased efficiency and effective bandwidth utilization.;;;
180. Fill in the blank. The acronym describes the type of traffic that has strict QoS requirements and utilizes a one-way overall delay less than 150 ms across the network.;VoIP;VoIP (Voice over IP) traffic has strict Quality of Service (QoS) requirements and typically requires a one-way overall delay of less than 150 ms across the network to maintain voice call quality.;;;;
181. Which two commands should be implemented to return a Cisco 3560 trunk port to its default configuration? (Choose two.);S1(config-if)# no switchport trunk allowed vlan,S1(config-if)# no switchport trunk native vlan,S1(config-if)# switchport mode dynamic desirable,S1(config-if)# switchport mode access,S1(config-if)# switchport access vlan 1;S1(config-if)# no switchport trunk allowed vlan,S1(config-if)# no switchport trunk native vlan;To return a Cisco 3560 trunk port to its default configuration, you should use the 'no switchport trunk allowed vlan' and 'no switchport trunk native vlan' commands. These commands remove any explicitly configured allowed VLANs and native VLAN.;;;
182. Which command will enable auto-MDIX on a device?;S1(config-if)# mdix auto,S1# auto-mdix,S1# mdix auto,S1(config)# mdix auto,S1(config)# auto-mdix;S1(config-if)# mdix auto;The 'S1(config-if)# mdix auto' command is used to enable auto-MDIX on a Cisco device, allowing it to automatically detect and adjust to the correct cable type (straight-through or crossover) when connected to another device.;;;
183. What is the effect of issuing the passive-interface default command on a router that is configured for OSPF?;Routers that share a link and use the same routing protocol,It prevents OSPF messages from being sent out any OSPF-enabled interface,All of above,Routers that share a link and use the same routing protocol;It prevents OSPF messages from being sent out any OSPF-enabled interface;Issuing the 'passive-interface default' command on a router that is configured for OSPF prevents OSPF messages from being sent out of any OSPF-enabled interface. This effectively makes all OSPF interfaces passive by default.;;;
184. A network administrator is implementing a distance vector routing protocol between neighbors on the network. In the context of distance vector protocols, what is a neighbor?;A) routers that are reachable over a TCP session, B) routers that share a link and use the same routing protocol, C) routers that reside in the same area, D) routers that exchange LSAs;;;;;
185. Refer to the exhibit. A network administrator has just configured address translation and is verifying the configuration. What three things can the administrator verify? (Choose three.);A) Address translation is working., B) Three addresses from the NAT pool are being used by hosts., C) The name of the NAT pool is refCount., D) A standard access list numbered 1 was used as part of the configuration process., E) Two types of NAT are enabled., F) One port on the router is not participating in the address translation.;;;;;
186. Which two methods can be used to provide secure management access to a Cisco switch? (Choose two.);A) Configure all switch ports to a new VLAN that is not VLAN 1., B) Configure specific ports for management traffic on a specific VLAN., C) Configure SSH for remote management., D) Configure all unused ports to a “black hole.”, E) Configure the native VLAN to match the default VLAN.;;;;;
187. A router learns of multiple routes toward the same destination. Which value in a routing table represents the trustworthiness of learned routes and is used by the router to determine which route to install into the routing table for this specific situation?;A) routing protocol, B) outgoing interface, C) metric, D) administrative distance;;;;;
188. Which value in a routing table represents trustworthiness and is used by the router to determine which route to install into the routing table when there are multiple routes toward the same destination?;A) administrative distance, B) metric, C) outgoing interface, D) routing protocol;;;;;
189. The network address 172.18.9.128 with netmask 255.255.255.128 is matched by which wildcard mask?;A) 0.0.0.31, B) 0.0.0.255, C) 0.0.0.127, D) 0.0.0.63;;;;;
190. Which three addresses could be used as the destination address for OSPFv3 messages? (Choose three.);A) FF02::5, B) FF02::6, C) FF02::A, D) 2001:db8:cafe::1, E) FF02::1:2, F) FE80::1;;;;;
191. Refer to the exhibit. What is the OSPF cost to reach the West LAN 172.16.2.0/24 from East??;;;;;;
192. Refer to the exhibit. What is the OSPF cost to reach the R2 LAN 172.16.2.0/24 from R1?;;;;;;
193. What are two reasons that will prevent two routers from forming an OSPFv2 adjacency? (Choose two.);A) mismatched subnet masks on the link interfaces, B) a mismatched Cisco IOS version that is used, C) use of private IP addresses on the link interfaces, D) one router connecting to a FastEthernet port on the switch and the other connecting to a GigabitEthernet port, E) mismatched OSPF Hello or Dead timers;;;;;
194. Refer to the exhibit. The network administrator needs as many switch ports as possible for end devices and the business is using the most common type of inter-VLAN method. What type of inter-VLAN interconnectivity is best to use between the switch and the router if R1 routes for all VLANs?;A) one link between the switch and the router with the router using three router subinterfaces, B) one link between the switch and the router with the one switch port being configured in access mode, C) three links between the switch and the router with the three switch ports being configured in access mode, D) two links between the switch and the router with the two switch ports being configured in access mode;;;;;
195. Refer to the exhibit. An ACL preventing FTP and HTTP access to the internal web server from all teaching assistants has been implemented in the Board office. The address of the web server is 172.20.1.100 and all teaching assistants are assigned addresses in the 172.21.1.0/24 network. After implementing the ACL, access to all servers is denied. What is the problem?;A) Inbound ACLs must be routed before they are processed., B) The ACL is implicitly denying access to all the servers., C) Named ACLs require the use of port numbers., D) The ACL is applied to the interface using the wrong direction.;;;;;
196. Refer to the exhibit. A new network policy requires an ACL denying FTP and Telnet access to a Corp file server from all interns. The address of the file server is 172.16.1.15 and all interns are assigned addresses in the 172.18.200.0/24 network. After implementing the ACL, no one in the Corp network can access any of the servers. What is the problem?;A) Inbound ACLs must be routed before they are processed., B) The ACL is implicitly denying access to all the servers., C) Named ACLs require the use of port numbers., D) The ACL is applied to the interface using the wrong direction.;;;;;
197. Router R1 routes traffic to the 10.10.0.0/16 network using an EIGRP learned route from Branch2. The administrator would like to install a floating static route to create a backup route to the 10.10.0.0/16 network in the event that the link between R1 and Branch2 goes down. Which static route meets this goal?;A) ip route 10.10.0.0 255.255.0.0 209.165.200.225 100;;;;;
198. Refer to the exhibit. Based on the exhibited configuration and output, why is VLAN 99 missing?;A) because there is a cabling problem on VLAN 99, B) because VLAN 99 is not a valid management VLAN, C) because VLAN 1 is up and there can only be one management VLAN on the switch, D) because VLAN 99 has not yet been created;D;VLAN 99 is the management VLAN and must be added to the VLAN database before it will appear in the show vlan output. To do so, enter the following commands: Sw1(config)# vlan 99 Sw1(config-vlan)# name Management SW1(config-vlan)# exit;;;
